busstop_id,lat,lng
444,-3.792656,-38.587983
445,-3.791236,-38.588695
446,-3.791724,-38.589633
448,-3.794581,-38.584537
449,-3.793487,-38.58356
450,-3.792816,-38.585253
451,-3.792336,-38.582517
452,-3.791281,-38.579176
453,-3.791402,-38.579408
454,-3.793136,-38.581001
455,-3.79356,-38.581289
456,-3.799746,-38.58803
458,-3.797248,-38.586142
459,-3.799374,-38.586898
460,-3.795416,-38.585181
461,-3.796268,-38.583799
462,-3.796262,-38.583898
463,-3.797761,-38.585347
464,-3.795739,-38.585722
465,-3.792801,-38.578171
466,-3.793336,-38.568856
467,-3.79354,-38.568699
468,-3.799083,-38.577614
469,-3.797837,-38.578362
470,-3.796838,-38.578328
471,-3.795726,-38.569514
472,-3.795813,-38.569853
473,-3.797195,-38.569979
474,-3.79703,-38.570202
477,-3.792956,-38.565857
479,-3.794056,-38.565418
480,-3.794192,-38.565373
481,-3.791801,-38.567392
482,-3.791689,-38.567606
484,-3.796465,-38.566154
485,-3.796409,-38.566059
486,-3.797055,-38.566141
487,-3.797162,-38.566062
488,-3.799101,-38.565718
489,-3.799183,-38.565677
490,-3.798113,-38.56414
491,-3.797695,-38.564029
492,-3.793621,-38.534689
493,-3.795211,-38.533023
494,-3.795168,-38.532847
495,-3.792866,-38.532081
496,-3.793629,-38.531632
498,-3.793054,-38.530368
499,-3.797052,-38.53156
500,-3.797183,-38.531678
501,-3.799926,-38.530595
502,-3.794854,-38.517862
503,-3.794914,-38.517921
504,-3.79281,-38.517455
509,-3.798496,-38.51862
510,-3.79848,-38.518694
512,-3.796664,-38.516566
514,-3.793264,-38.469005
515,-3.792181,-38.470123
518,-3.796831,-38.463837
519,-3.79715,-38.467027
520,-3.795565,-38.461965
521,-3.796237,-38.462151
522,-3.803712,-38.604133
523,-3.800346,-38.604243
524,-3.801039,-38.602353
525,-3.801139,-38.602322
526,-3.800831,-38.602879
527,-3.801478,-38.602997
529,-3.8022,-38.603397
531,-3.808333,-38.607905
532,-3.80824,-38.608384
533,-3.807315,-38.609331
534,-3.80724,-38.604773
535,-3.807662,-38.604616
536,-3.80751,-38.607151
537,-3.805713,-38.605625
538,-3.804962,-38.601983
539,-3.80041,-38.599435
540,-3.801631,-38.598918
541,-3.802034,-38.599666
546,-3.803346,-38.590539
547,-3.803273,-38.590335
551,-3.807437,-38.59422
552,-3.808886,-38.595314
556,-3.808143,-38.590237
557,-3.805846,-38.592758
558,-3.805851,-38.592617
559,-3.804791,-38.591651
561,-3.800226,-38.588485
562,-3.801498,-38.588749
563,-3.803543,-38.586709
564,-3.800133,-38.585082
566,-3.806985,-38.587414
567,-3.806975,-38.587501
568,-3.808443,-38.588491
569,-3.808502,-38.588439
570,-3.804882,-38.583074
571,-3.805149,-38.584244
572,-3.806799,-38.58382
574,-3.806677,-38.580311
575,-3.808131,-38.58215
576,-3.806535,-38.582078
577,-3.805779,-38.581682
578,-3.802231,-38.571822
579,-3.802777,-38.571667
580,-3.803722,-38.572292
581,-3.803894,-38.571998
583,-3.803754,-38.569388
584,-3.803656,-38.569427
585,-3.801747,-38.568412
586,-3.801385,-38.568335
